lonlat,2019-04-02_07-30,2019-04-02_07-31
"116.499827,40.000001",20,20
"116.498022,40.001874",20,20
"116.497745,40.001709",20,20
"116.497533,40.001474",20,20
"116.498845,40.000666",20,20
"116.498498,40.00107",20,20
"116.49841,40.001286",20,20
"116.145801,39.79092",20,20
"116.144054,39.779081",20,20
"116.143164,39.777354",20,20
"116.142952,39.776972",20,20
"116.14386,39.768072",20,20
"116.143872,39.757338",20,20
"116.143746,39.757178",20,20
"116.142243,39.756292",20,20
"116.14213,39.75596",20,20
"116.141981,39.755495",20,20
"116.141903,39.755338",20,20
"116.141872,39.755159",20,20
"116.141892,39.754992",20,20
"116.142011,39.754683",20,20
"116.142173,39.754366",20,20
"116.142269,39.75408",20,20
"116.211599,39.91063",60,60
"116.35644,39.889229",20,20
"116.396275,39.890716",20,20
"116.396781,39.890785",20,20
"116.397475,39.890928",20,20
"116.397735,39.890922",20,20
"116.39792,39.890907",20,20
"116.398063,39.890855",20,20
"116.427792,39.893331",40,40
"116.356011,39.922377",20,20
"116.355952,39.922371",20,20
"116.355852,39.922367",20,20
"116.355775,39.922378",20,20
"116.355707,39.922412",20,20
"116.355608,39.922437",20,20
"116.35556,39.922526",20,20
"116.355563,39.922827",20,20
"116.40763,39.986675",20,20
"116.407631,39.98682",20,20
"116.407644,39.987526",20,20
"116.499045,39.999931",20,20
"116.463088,39.975953",40,40
"116.407782,39.994877",20,20
"116.407787,39.995",20,20
"116.489632,39.94028",20,20
"116.497059,40.001705",20,20
"116.497137,40.001381",20,20
"116.390986,39.871177",20,20
"116.389675,39.871225",20,20
"116.390044,39.871133",20,20
"116.35143,39.897888",60,60
"116.35051,39.897854",60,60
"116.350224,39.897856",60,60
"116.349956,39.897895",60,60
"116.349787,39.898087",20,20
"116.347446,39.897769",20,20
"116.34785,39.89757",20,20
"116.348031,39.897459",20,20
"116.3483,39.897127",20,20
"116.34836,39.896924",20,20
"116.348385,39.896586",20,20
"116.34897,39.895261",60,60
"116.349125,39.895416",60,60
"116.455772,39.908248",20,20
"116.455777,39.904329",20,20
"116.455776,39.904218",20,20
"116.215823,39.951774",20,20
"116.215404,39.950058",20,20
"116.214964,39.94898",20,20
"116.212256,39.943317",20,20
"116.21235,39.943689",20,20
"116.212587,39.944383",20,20
"116.212962,39.94526",20,20
"116.213422,39.946053",20,20
"116.549018,39.851124",40,40
"116.548686,39.850737",40,40
"116.546522,39.844774",20,20
"116.546904,39.844359",20,20
"116.547611,39.843878",20,20
"116.325608,39.93862",20,20
"116.325611,39.938542",20,20
"116.325705,39.938623",20,20
"116.325437,39.939219",20,20
"116.325179,39.939008",20,20
"116.314223,39.940781",20,20
"116.313512,39.941156",20,20
"116.309993,39.945695",20,20
"116.310096,39.94394",20,20
"116.319227,39.939049",20,20
"116.306245,39.943824",20,20
"116.58801,40.070688",20,20
"116.58801,40.071572",20,20
"116.29647,39.946847",40,40
"116.296486,39.946473",40,40
"116.305197,39.943772",60,60
"116.305538,39.943727",60,60
"116.453572,39.95826",60,60
"116.453586,39.958155",60,60
"116.453591,39.958123",60,60
"116.453566,39.958012",60,60
"116.45349,39.957915",60,60
"116.412081,40.045476",20,20
"116.408038,40.005658",20,20
"116.408048,40.008",20,20
"116.408108,40.009548",20,20
"116.408111,40.010102",20,20
"116.408124,40.012837",20,20
"116.408183,40.01561",20,20
"116.408218,40.017208",20,20
"116.408251,40.018898",20,20
"116.408292,40.019414",20,20
"116.408375,40.02001",20,20
"116.408666,40.021456",20,20
"116.408824,40.022176",20,20
"116.408842,40.022627",40,40
"116.408921,40.022766",40,40
"116.409166,40.024049",20,20
"116.409636,40.026924",20,20
"116.409873,40.028375",20,20
"116.410601,40.03284",20,20
"116.410861,40.034442",20,20
"116.411413,40.037593",20,20
"116.411715,40.039807",20,20
"116.41192,40.040858",20,20
"116.411971,40.041338",20,20
"116.41204,40.042392",20,20
"116.14547,39.875747",20,20
"116.144772,39.874941",20,20
"116.120878,39.813092",20,20
"116.136235,39.859164",20,20
"116.136221,39.85899",20,20
"116.136165,39.858737",20,20
"116.136042,39.858452",20,20
"116.135871,39.858195",20,20
"116.135638,39.857923",20,20
"116.135484,39.857749",20,20
"116.135314,39.857577",20,20
"116.134995,39.85727",20,20
"116.126059,39.848513",20,20
"116.126473,39.848951",20,20
"116.120665,39.811402",20,20
"116.120774,39.811826",20,20
"116.120295,39.842573",20,20
"116.144882,39.874889",20,20
"116.145237,39.875293",20,20
"116.145593,39.875718",20,20
"116.119175,39.800807",20,20
"116.119164,39.802123",20,20
"116.118168,39.839487",20,20
"116.118516,39.840082",20,20
"116.118865,39.840721",20,20
"116.119329,39.841402",20,20
"116.118225,39.790155",20,20
"116.118047,39.789489",20,20
"116.138031,39.860068",20,20
"116.138524,39.860834",20,20
"116.138772,39.861267",20,20
"116.139006,39.861694",20,20
"116.1395,39.8628",20,20
"116.139597,39.863142",20,20
"116.139822,39.863911",20,20
"116.140008,39.864772",20,20
"116.14009,39.865405",20,20
"116.140123,39.865804",20,20
"116.140195,39.867528",20,20
"116.120168,39.84269",20,20
"116.119178,39.841575",20,20
"116.120765,39.812451",20,20
"116.120631,39.811826",20,20
"116.118345,39.790109",20,20
"116.118554,39.790892",20,20
"116.118689,39.791513",20,20
"116.118816,39.792205",20,20
"116.118955,39.793157",20,20
"116.117401,39.839268",20,20
"116.127894,39.85038",20,20
"116.120895,39.812442",20,20
"116.121011,39.813097",20,20
"116.145857,39.87624",20,20
"116.118434,39.790083",20,20
"116.119796,39.807918",20,20
"116.118694,39.841043",20,20
"116.117974,39.840114",20,20
"116.117679,39.839694",20,20
"116.117522,39.839223",20,20
"116.117799,39.839653",20,20
"116.118093,39.840078",20,20
"116.118801,39.840988",20,20
"116.119245,39.841496",20,20
"116.147159,39.878079",20,20
"116.147546,39.878889",20,20
"116.117128,39.786624",20,20
"116.117566,39.787704",20,20
"116.117875,39.788576",20,20
"116.118156,39.789456",20,20
"116.140064,39.867608",20,20
"116.139998,39.865851",20,20
"116.139961,39.865414",20,20
"116.139695,39.863935",20,20
"116.139095,39.862242",20,20
"116.138809,39.861605",20,20
"116.138409,39.860867",20,20
"116.145724,39.875887",20,20
"116.145988,39.876227",20,20
"116.119044,39.800811",20,20
"116.119052,39.80036",20,20
"116.147932,39.879858",20,20
"116.144147,39.874308",20,20
"116.143445,39.87364",20,20
"116.14274,39.872976",20,20
"116.142138,39.872372",20,20
"116.14184,39.872043",20,20
"116.140842,39.870591",20,20
"116.140662,39.870225",20,20
"116.140499,39.869826",20,20
"116.140357,39.869431",20,20
"116.140219,39.868884",20,20
"116.140089,39.868019",20,20
"116.117755,39.788604",20,20
"116.117438,39.787721",20,20
"116.117176,39.787088",20,20
"116.117104,39.838535",20,20
"116.126417,39.849048",20,20
"116.126005,39.848611",20,20
"116.119661,39.8079",20,20
"116.121128,39.814149",20,20
"116.119533,39.807234",20,20
"116.119404,39.806521",20,20
"116.117578,39.824783",20,20
"116.118494,39.823303",20,20
"116.120317,39.819498",20,20
"116.12052,39.81886",20,20
"116.121033,39.815307",20,20
"116.121021,39.814713",20,20
"116.136063,39.857801",20,20
"116.136481,39.858137",20,20
"116.136696,39.858333",20,20
"116.137019,39.858654",20,20
"116.137258,39.858889",20,20
"116.137537,39.859132",20,20
"116.138043,39.859494",20,20
"116.118259,39.789411",20,20
"116.119664,39.807248",20,20
"116.140223,39.868062",20,20
"116.140333,39.868816",20,20
"116.140505,39.869454",20,20
"116.140632,39.869814",20,20
"116.140787,39.870185",20,20
"116.140971,39.870561",20,20
"116.141175,39.870932",20,20
"116.141409,39.871291",20,20
"116.141667,39.871641",20,20
"116.141939,39.871982",20,20
"116.142238,39.872311",20,20
"116.142877,39.87295",20,20
"116.143545,39.873577",20,20
"116.144246,39.874245",20,20
"116.118237,39.788691",20,20
"116.118182,39.788813",20,20
"116.118163,39.788916",20,20
"116.11817,39.789047",20,20
"116.121151,39.814728",20,20
"116.121159,39.815309",20,20
"116.121115,39.81629",20,20
"116.120981,39.817351",20,20
"116.120901,39.817786",20,20
"116.120801,39.818254",20,20
"116.12065,39.818878",20,20
"116.120458,39.819503",20,20
"116.120286,39.820017",20,20
"116.119978,39.82079",20,20
"116.119697,39.821403",20,20
"116.119398,39.822005",20,20
"116.119086,39.822565",20,20
"116.118621,39.823338",20,20
"116.1177,39.824823",20,20
"116.117186,39.8257",20,20
"116.119178,39.80036",20,20
"116.137876,39.860703",20,20
"116.137756,39.860624",20,20
"116.119062,39.794527",20,20
"116.119198,39.795685",20,20
"116.119215,39.797714",20,20
"116.137015,39.858312",20,20
"116.136903,39.858492",20,20
"116.136753,39.858644",20,20
"116.136534,39.858831",20,20
"116.136319,39.858949",20,20
"116.138856,39.860713",20,20
"116.138849,39.860898",20,20
"116.138871,39.861073",20,20
"116.138923,39.861258",20,20
"116.139319,39.862165",20,20
"116.133739,39.85623",20,20
"116.133307,39.855795",20,20
"116.147041,39.878119",20,20
"116.117962,40.047866",20,20
"116.117734,40.047662",20,20
"116.118816,39.793167",20,20
"116.138155,39.860931",20,20
"116.118354,39.840938",20,20
"116.117638,39.84021",20,20
"116.117174,39.839664",20,20
"116.135324,39.857198",20,20
"116.13671,39.858474",20,20
"116.137414,39.859258",20,20
"116.146517,39.876988",20,20
"116.137614,39.860543",20,20
"116.137441,39.860465",20,20
"116.137249,39.860402",20,20
"116.118735,39.792583",20,20
"116.118557,39.791526",20,20
"116.11842,39.790904",20,20
"116.117199,39.786605",20,20
"116.117309,39.786819",20,20
"116.117486,39.787167",20,20
"116.117618,39.787379",20,20
"116.117779,39.78759",20,20
"116.117964,39.787781",20,20
"116.1181,39.787892",20,20
"116.132772,39.855394",20,20
"116.151305,39.887149",20,20
"116.15187,39.887909",20,20
"116.152956,39.890122",20,20
"116.152721,39.889459",20,20
"116.147105,39.889711",20,20
"116.147502,39.889719",20,20
"116.148054,39.889697",20,20
"116.149015,39.889665",20,20
"116.148194,39.880648",20,20
"116.14845,39.881479",20,20
"116.148697,39.882209",20,20
"116.153876,39.891097",20,20
"116.153805,39.891211",20,20
"116.153759,39.891366",20,20
"116.153756,39.891547",20,20
"116.153784,39.891901",20,20
"116.153765,39.892551",20,20
"116.153453,39.894478",20,20
"116.153469,39.894192",20,20
"116.15345,39.893795",20,20
"116.153411,39.893578",20,20
"116.15335,39.893379",20,20
"116.153247,39.893177",20,20
"116.153135,39.892995",20,20
"116.152989,39.892815",20,20
"116.153093,39.892223",20,20
"116.147671,39.89043",20,20
"116.147401,39.890407",20,20
"116.147055,39.890396",20,20
"116.146733,39.89041",20,20
"116.14639,39.890449",20,20
"116.145323,39.890497",20,20
"116.145197,39.890443",20,20
"116.145119,39.890377",20,20
"116.152267,39.888457",20,20
"116.152594,39.888957",20,20
"116.152839,39.889377",20,20
"116.153174,39.89011",20,20
"116.152815,39.891688",20,20
"116.152939,39.891568",20,20
"116.153059,39.89142",20,20
"116.153128,39.891253",20,20
"116.153165,39.891072",20,20
"116.153103,39.890593",20,20
"116.151705,39.88793",20,20
"116.153341,39.8901",20,20
"116.15351,39.890311",20,20
"116.153692,39.890456",20,20
"116.153907,39.892174",20,20
"116.153659,39.892202",20,20
"116.148457,39.88222",20,20
"116.148275,39.881508",20,20
"116.145332,39.889602",20,20
"116.145503,39.889557",20,20
"116.145705,39.889549",20,20
"116.14589,39.889567",20,20
"116.146472,39.889657",20,20
"116.146762,39.889691",20,20
"116.147816,39.879885",20,20
"116.14895,39.882881",20,20
"116.149622,39.884394",20,20
"116.147685,39.890288",20,20
"116.14719,39.890196",20,20
"116.146772,39.890141",20,20
"116.146034,39.890116",20,20
"116.153379,39.890644",20,20
"116.15358,39.891347",20,20
"116.153693,39.891927",20,20
"116.153783,39.893151",20,20
"116.153763,39.893729",20,20
"116.153689,39.894345",20,20
"116.153596,39.894855",20,20
"116.153492,39.895287",20,20
"116.153316,39.895831",20,20
"116.153085,39.896408",20,20
"116.152832,39.896849",20,20
"116.152752,39.896985",20,20
"116.15217,39.897988",20,20
"116.149818,39.901371",20,20
"116.148397,39.903383",20,20
"116.14428,39.909305",20,20
"116.143721,39.91005",20,20
"116.143026,39.910911",20,20
"116.142484,39.911597",20,20
"116.14187,39.912319",20,20
"116.14273,39.889654",20,20
"116.143583,39.889683",20,20
"116.143963,39.889681",20,20
"116.144312,39.88966",20,20
"116.144693,39.889597",20,20
"116.153043,39.890116",20,20
"116.152481,39.889013",20,20
"116.152124,39.888476",20,20
"116.1531,39.892175",20,20
"116.153044,39.889581",20,20
"116.153191,39.889869",20,20
"116.145031,39.890256",20,20
"116.144994,39.890147",20,20
"116.145005,39.889919",20,20
"116.145072,39.889796",20,20
"116.145169,39.889707",20,20
"116.148062,39.880677",20,20
"116.348414,39.896213",20,20
"116.348413,39.895469",20,20
"116.348477,39.89496",20,20
"116.346416,39.897766",20,20
"116.346964,39.897778",20,20
"116.348885,39.897702",20,20
"116.330206,39.89695",40,40
"116.33238,39.896981",60,60
"116.333331,39.897043",60,60
"116.335348,39.897154",60,60
"116.338017,39.897311",60,60
"116.349106,39.895599",60,60
"116.349121,39.89579",60,60
"116.349124,39.895987",60,60
"116.349066,39.896636",60,60
"116.353161,39.898004",60,60
"116.349976,39.897775",60,60
"116.355021,39.89822",60,60
"116.35454,39.898189",60,60
"116.353491,39.898097",60,60
"116.353171,39.897879",60,60
"116.354078,39.89796",60,60
"116.354577,39.898013",60,60
"116.355073,39.898117",60,60
"116.355591,39.898287",60,60
"116.356151,39.898541",60,60
"116.356715,39.898782",60,60
"116.357199,39.898942",60,60
"116.357649,39.899056",60,60
"116.358101,39.899127",60,60
"116.358508,39.899175",60,60
"116.358964,39.899226",60,60
"116.359607,39.899252",60,60
"116.348794,39.894334",60,60
"116.348868,39.894818",60,60
"116.349733,39.898226",20,20
"116.349703,39.89809",20,20
"116.348484,39.891428",20,20
"116.348168,39.891035",20,20
"116.348081,39.890923",20,20
"116.348041,39.890814",20,20
"116.348034,39.890699",20,20
"116.348283,39.892064",20,20
"116.349638,39.897568",60,60
"116.349762,39.89748",60,60
"116.349831,39.897389",60,60
"116.348543,39.888009",20,20
"116.348428,39.887959",20,20
"116.348326,39.887959",20,20
"116.348213,39.887982",20,20
"116.348143,39.888032",20,20
"116.348079,39.888122",20,20
"116.371653,39.870658",20,20
"116.374281,39.870037",20,20
"116.37428,39.86988",20,20
"116.402257,39.872087",20,20
"116.373337,39.862384",60,60
"116.373548,39.862895",60,60
"116.374453,39.870049",20,20
"116.373629,39.863077",60,60
"116.373798,39.863821",60,60
"116.373942,39.864549",40,40
"116.373966,39.864663",40,40
"116.374105,39.865579",40,40
"116.37445,39.869903",20,20
"116.376724,39.870628",20,20
"116.374462,39.870813",20,20
"116.374465,39.871081",20,20
"116.374504,39.874786",20,20
"116.374488,39.875782",20,20
"116.374504,39.878516",20,20
"116.374563,39.880751",20,20
"116.374554,39.881433",20,20
"116.37459,39.889017",20,20
"116.544737,39.845282",20,20
"116.545016,39.845151",20,20
"116.545222,39.84499",20,20
"116.54344,39.845836",20,20
"116.544507,39.845282",20,20
"116.544405,39.843856",20,20
"116.544865,39.843768",20,20
"116.545851,39.843632",20,20
"116.5471,39.84354",20,20
"116.541289,39.843325",20,20
"116.541735,39.843529",20,20
"116.54261,39.843805",20,20
"116.543416,39.843997",20,20
"116.543872,39.844053",20,20
"116.544358,39.844078",20,20
"116.545066,39.844082",20,20
"116.545844,39.84402",20,20
"116.546465,39.843935",20,20
"116.547145,39.843793",20,20
"116.548787,39.843145",20,20
"116.546634,39.844425",20,20
"116.546023,39.844621",20,20
"116.5454,39.844772",20,20
"116.544768,39.844886",20,20
"116.544187,39.844947",20,20
"116.543673,39.844954",20,20
"116.542507,39.844936",20,20
"116.540992,39.844417",20,20
"116.539234,39.842686",20,20
"116.546664,39.846144",20,20
"116.544531,39.845795",20,20
"116.543853,39.846133",20,20
"116.543647,39.846264",20,20
"116.550333,39.842809",20,20
"116.544059,39.846515",20,20
"116.543901,39.846451",20,20
"116.543696,39.846395",20,20
"116.547302,39.843624",20,20
"116.547935,39.843417",20,20
"116.550045,39.84248",20,20
"116.540437,39.842886",20,20
"116.540832,39.843125",20,20
"116.546252,39.84468",20,20
"116.546215,39.844839",20,20
"116.546142,39.844951",20,20
"116.546022,39.845074",20,20
"116.54573,39.845195",20,20
"116.549607,39.843225",20,20
"116.547783,39.844205",20,20
"116.544752,39.845094",20,20
"116.545131,39.843969",20,20
"116.545472,39.843867",20,20
"116.546111,39.843822",20,20
"116.546838,39.843721",20,20
"116.551789,39.841572",20,20
"116.557269,39.839007",20,20
"116.558613,39.838451",20,20
"116.567402,39.835189",20,20
"116.572635,39.833256",20,20
"116.57595,39.831933",20,20
"116.578572,39.830689",20,20
"116.580303,39.829771",20,20
"116.542847,39.845753",20,20
"116.543029,39.845743",20,20
"116.543198,39.845715",20,20
"116.54332,39.845677",20,20
"116.543901,39.845312",20,20
"116.543974,39.845227",20,20
"116.544035,39.845162",20,20
"116.544167,39.843724",20,20
"116.544252,39.84365",20,20
"116.542695,39.845636",20,20
"116.549475,39.843169",20,20
"116.548081,39.84392",20,20
"116.547548,39.844229",20,20
"116.547052,39.844669",20,20
"116.546724,39.845061",20,20
"116.546494,39.845463",20,20
"116.546349,39.845904",20,20
"116.546313,39.846351",20,20
"116.546361,39.846762",20,20
"116.54344,39.845136",20,20
"116.543767,39.845386",20,20
"116.544604,39.846028",20,20
"116.554111,39.840888",20,20
"116.550279,39.843007",20,20
"116.543208,39.843859",20,20
"116.543865,39.843877",20,20
"116.546803,39.844766",20,20
"116.545898,39.845208",20,20
"116.546829,39.845563",20,20
"116.546596,39.845861",20,20
"116.546471,39.846264",20,20
"116.546482,39.847163",20,20
"116.546652,39.847535",20,20
"116.546094,39.844326",20,20
"116.53872,39.841777",20,20
"116.540162,39.842748",20,20
"116.542629,39.845456",20,20
"116.542484,39.845231",20,20
"116.542265,39.845008",20,20
"116.54195,39.844673",20,20
"116.541696,39.84444",20,20
"116.540645,39.843628",20,20
"116.545028,39.846279",20,20
"116.545343,39.846456",20,20
"116.545743,39.846707",20,20
"116.54641,39.847247",20,20
"116.121167,39.937819",20,20
"116.120258,39.937712",20,20
"116.120049,39.937714",20,20
"116.119879,39.937744",20,20
"116.119721,39.937796",20,20
"116.119576,39.937872",20,20
"116.120964,39.932772",20,20
"116.120725,39.932858",20,20
"116.120532,39.932985",20,20
"116.11989,39.933622",20,20
"116.123752,39.929527",20,20
"116.123272,39.930256",20,20
"116.123086,39.930657",20,20
"116.119802,39.933464",20,20
"116.120185,39.932777",20,20
"116.120378,39.93238",20,20
"116.120435,39.932106",20,20
"116.121904,39.930635",20,20
"116.442665,40.019996",60,40
"116.442853,40.019855",60,40
"116.442902,40.019713",60,40
"116.441301,40.019765",20,20
"116.441235,40.019879",20,20
"116.405877,40.022308",20,20
"116.406369,40.02229",20,20
"116.440773,40.019957",20,20
"116.440589,40.019913",20,20
"116.439002,40.020711",40,40
"116.43908,40.020834",40,40
"116.439189,40.020886",40,40
"116.439362,40.020933",40,40
"116.439488,40.020937",40,40
"116.40692,40.022123",20,20
"116.412124,40.021993",20,20
"116.412162,40.022182",20,20
"116.412068,40.022534",40,60
"116.401671,40.022837",20,20
"116.401534,40.022962",20,20
"116.401441,40.023018",20,20
"116.438538,40.021218",20,20
"116.443658,40.019729",60,60
"116.392261,40.022386",20,20
"116.396779,40.02233",20,20
"116.398929,40.022302",20,20
"116.399634,40.022248",20,20
"116.400697,40.022194",20,20
"116.401655,40.022195",20,20
"116.409448,40.025217",20,20
"116.43479,40.022064",20,20
"116.434021,40.022259",20,20
"116.415124,40.022508",60,60
"116.414852,40.0226",60,60
"116.414706,40.022747",60,60
"116.414147,40.021882",20,20
"116.417292,40.020981",20,20
"116.400256,40.022878",20,20
"116.399583,40.022751",20,20
"116.557978,39.766981",20,20
"116.558285,39.76653",20,20
"116.401839,40.022017",20,20
"116.417821,40.022086",20,20
"116.438744,40.021067",40,40
"116.43885,40.020917",40,40
"116.440388,40.019782",20,20
"116.440511,40.019573",20,20
"116.440472,40.019269",20,20
"116.440331,40.018676",20,20
"116.402236,40.018949",20,20
"116.402277,40.019456",20,20
"116.40231,40.020954",20,20
"116.402332,40.021918",20,20
"116.402387,40.022065",20,20
"116.402662,40.02219",20,20
"116.402732,40.022209",20,20
"116.402804,40.022185",20,20
"116.402876,40.022159",20,20
"116.402956,40.022179",20,20
"116.403015,40.022189",20,20
"116.40311,40.022188",20,20
"116.403169,40.022174",20,20
"116.403205,40.022172",20,20
"116.417334,40.023332",20,20
"116.417191,40.023295",20,20
"116.413644,40.022826",60,60
"116.413576,40.022627",60,60
"116.413602,40.022468",60,60
"116.4139,40.022167",20,20
"116.414188,40.02208",20,20
"116.414538,40.022017",20,20
"116.428102,40.021894",20,20
"116.429098,40.021994",20,20
"116.398404,40.022416",20,20
"116.398956,40.022372",20,20
"116.440754,40.018352",20,20
"116.44095,40.01868",20,20
"116.441138,40.019092",20,20
"116.443076,40.019608",60,40
"116.443255,40.019668",60,40
"116.444742,40.019484",60,60
"116.420886,40.022468",60,60
"116.420049,40.02235",60,60
"116.432716,40.022245",20,20
"116.428702,40.022335",20,20
"116.424954,40.022406",40,40
"116.42306,40.022435",60,60
"116.418542,40.022505",60,60
"116.418006,40.022521",20,20
"116.416207,40.022524",60,60
"116.416069,40.022665",60,60
"116.411011,40.022787",40,40
"116.410072,40.022661",40,40
"116.408974,40.022627",40,40
"116.408696,40.022629",40,40
"116.408523,40.022629",40,40
"116.407071,40.022614",40,40
"116.405812,40.022655",40,40
"116.403891,40.022719",40,40
"116.402759,40.022756",40,40
"116.402261,40.022815",20,20
"116.401074,40.022858",40,40
"116.398937,40.022818",20,20
"116.396196,40.022848",20,20
"116.394489,40.022869",20,20
"116.392877,40.022888",20,20
"116.392208,40.02289",20,20
"116.332345,39.897164",20,20
"116.331578,39.897291",20,20
"116.331614,39.896821",60,60
"116.345004,39.897538",40,40
"116.345747,39.897734",20,20
"116.342445,39.897403",40,40
"116.327845,39.897129",20,20
"116.327481,39.897199",20,20
"116.32651,39.897211",20,20
"116.34486,39.897921",20,20
"116.326547,39.896836",20,20
"116.326814,39.896867",20,20
"116.327437,39.896871",20,20
"116.434606,39.924459",20,20
"116.434511,39.926894",20,20
"116.434412,39.928982",20,20
"116.434366,39.930413",20,20
"116.434272,39.935851",20,20
"116.434096,39.936244",20,20
"116.434265,39.935138",20,20
"116.434335,39.935174",20,20
"116.434392,39.935175",20,20
"116.450232,39.933935",20,20
"116.402181,40.019486",20,20
"116.402183,40.019972",20,20
"116.402204,40.020895",20,20
"116.402198,40.023561",20,20
"116.369849,40.001437",60,60
"116.137147,39.751197",20,20
"116.138074,39.751692",20,20
"116.138677,39.752062",20,20
"116.138892,39.752177",20,20
"116.139122,39.75227",20,20
"116.141991,39.754503",20,20
"116.142183,39.754635",20,20
"116.144241,39.756046",20,20
"116.432556,39.989423",40,20
"116.434996,39.98948",60,40
"116.434465,39.98932",40,40
"116.238902,39.85834",20,20
"116.23895,39.858409",20,20
"116.239036,39.858456",20,20
"116.239265,39.858481",20,20
"116.239368,39.858457",20,20
"116.23948,39.858402",20,20
"116.239543,39.858308",20,20
"116.239566,39.858219",20,20
"116.239516,39.858123",20,20
"116.33616,39.897509",20,20
"116.360327,39.94476",40,40
"116.368756,39.947696",20,20
"116.370149,39.948101",20,20
"116.37112,39.948353",20,20
"116.371755,39.948449",20,20
"116.372905,39.948509",20,20
"116.374432,39.948586",20,20
"116.376304,39.948637",20,20
"116.376662,39.948665",20,20
"116.376989,39.948737",20,20
"116.37722,39.948811",20,20
"116.377478,39.948962",60,60
"116.377608,39.949049",60,60
"116.377729,39.94915",60,60
"116.377866,39.949293",60,60
"116.377994,39.949463",20,20
"116.379141,39.951126",20,20
"116.400767,39.948961",60,60
"116.403235,39.948975",60,60
"116.405704,39.948993",60,60
"116.399894,39.948843",60,60
"116.363661,39.945934",40,40
"116.363327,39.945953",60,60
"116.365678,39.946311",20,20
"116.365925,39.94651",20,20
"116.359379,39.944887",60,60
"116.386832,39.948715",60,60
"116.3928,39.94891",40,40
"116.379384,39.952037",20,20
"116.379319,39.951786",20,20
"116.379257,39.951655",20,20
"116.379214,39.951557",20,20
"116.37912,39.9514",20,20
"116.404946,39.949224",60,60
"116.356624,39.944107",40,40
"116.355948,39.943923",40,40
"116.355791,39.943825",40,40
"116.399547,39.949175",60,60
"116.376201,39.948991",40,40
"116.389709,39.948969",40,40
"116.36544,39.946508",60,60
"116.4041,39.948856",60,60
"116.379516,39.952437",20,20
"116.379488,39.953788",20,20
"116.379443,39.955194",20,20
"116.379403,39.957375",20,20
"116.384729,39.948944",60,60
"116.384062,39.949059",60,60
"116.383499,39.948683",60,60
"116.405741,39.948856",60,60
"116.406314,39.948753",60,60
"116.408803,39.949294",20,20
"116.408808,39.948835",20,20
"116.422839,39.949688",40,40
"116.419188,39.949588",40,40
"116.422818,39.949452",40,40
"116.42854,39.949606",20,20
"116.408866,39.949345",20,20
"116.408877,39.94879",20,20
"116.421383,39.949399",40,40
"116.422306,39.949336",40,40
"116.416223,39.949477",40,40
"116.408865,39.949422",20,20
"116.406833,39.949371",60,60
"116.406369,39.949386",60,60
"116.406204,39.949356",60,60
"116.405937,39.949303",60,60
"116.40572,39.949239",60,60
"116.411617,39.949184",40,40
"116.40888,39.948697",60,60
"116.412753,39.949124",20,20
"116.413655,39.949028",20,20
"116.414898,39.949184",40,20
"116.419353,39.949332",40,40
"116.420666,39.949375",40,40
"116.435398,39.924381",20,20
"116.43431,39.939508",40,40
"116.434174,39.939543",40,40
"116.434096,39.939617",40,40
"116.433404,39.94325",40,40
"116.433172,39.942804",40,40
"116.433102,39.942698",40,40
"116.433111,39.942451",40,40
"116.434209,39.926643",40,40
"116.434069,39.926218",40,40
"116.434126,39.925072",20,20
"116.43413,39.924975",20,20
"116.43499,39.920349",20,20
"116.434748,39.914286",20,20
"116.434627,39.91717",20,20
"116.434426,39.921687",40,40
"116.434015,39.932249",40,40
"116.433944,39.932207",40,40
"116.433891,39.932206",40,40
"116.433832,39.932244",40,40
"116.433685,39.935401",40,40
"116.433692,39.935117",40,40
"116.433725,39.933276",40,40
"116.433765,39.933181",40,40
"116.434898,39.922041",20,20
"116.435031,39.922814",20,20
"116.435004,39.923959",20,20
"116.433853,39.932022",40,40
"116.433982,39.931453",40,40
"116.434023,39.930729",40,40
"116.433717,39.934253",40,40
"116.433722,39.937766",20,20
"116.434603,39.932306",20,20
"116.434567,39.933214",20,20
"116.434611,39.928607",20,20
"116.433752,39.935161",40,40
"116.433812,39.93516",40,40
"116.433875,39.935107",40,40
"116.434542,39.932203",20,20
"116.434476,39.932203",20,20
"116.43441,39.932259",20,20
"116.434433,39.935396",20,20
"116.434511,39.931074",20,20
"116.435126,39.916427",40,40
"116.435038,39.924773",20,20
"116.434937,39.924991",20,20
"116.434884,39.926271",20,20
"116.434685,39.926731",20,20
"116.436174,39.901596",20,20
"116.43607,39.901361",20,20
"116.436012,39.901283",20,20
"116.435927,39.901207",20,20
"116.43579,39.901134",20,20
"116.435627,39.901089",20,20
"116.44016,39.899483",60,60
"116.436182,39.903272",20,20
"116.44428,39.895086",20,20
"116.444337,39.89514",20,20
"116.444438,39.895175",20,20
"116.444537,39.895173",20,20
"116.444622,39.895148",20,20
"116.443146,39.894043",20,20
"116.445308,39.885819",60,60
"116.445373,39.885947",60,60
"116.445452,39.886002",60,60
"116.445569,39.886051",60,60
"116.445681,39.886038",60,60
"116.445782,39.885961",60,60
"116.444915,39.89341",20,20
"116.444842,39.89405",40,40
"116.446041,39.88316",60,60
"116.445918,39.883136",60,60
"116.445786,39.883173",60,60
"116.44569,39.883242",60,60
